PAIS,Formato,ZONA,CODIGO_FAMILIA,DESC_PRIMARIO,MARCA,CATEGORIA,SKU_PRIMARIO,PRECIO_PRIMARIO,VENTAS_PRIMARIO,ROTACIONES_PRIMARIO,TOTAL_SKUS,SKUS_VALIDOS,SKUS_PACK_GRAMAJE,PRECIOS_DISTINTOS,SKUS_ALINEADOS,SKUS_NO_ALINEADOS,PCT_ALINEACION,TIENE_SKU_PRIMARIO,SKUS_SIN_PRECIO,SKUS_SIN_VENTAS,VENTAS_FAMILIA,ESTADOS_PRESENTES
GT,BODEGAS,B - NARANJA,70413177,REFRESC GAS COCA COLA ORIGINAL LAT 355ML,SPRITE,BEVERAGES - CARBONATED-D95,70413177,5.05,17291.29,3852.0,24,24,0,6,4,20,16.67,1,0,3,63925.509999999995,Diferente al Primario | Igual al Primario
GT,BODEGAS,C - AMARILLA,70413177,REFRESC GAS COCA COLA ORIGINAL LAT 355ML,SPRITE,BEVERAGES - CARBONATED-D95,70413177,5.05,1546.47,344.0,24,24,0,5,4,20,16.67,1,0,6,18162.269999999997,Diferente al Primario | Igual al Primario
GT,BODEGAS,A - ROJA,70413177,REFRESC GAS COCA COLA ORIGINAL LAT 355ML,SPRITE,BEVERAGES - CARBONATED-D95,70413177,5.05,2499.36,558.0,24,24,0,4,4,20,16.67,1,0,3,8690.929999999998,Diferente al Primario | Igual al Primario
GT,BODEGAS,E - AZUL,70413177,REFRESC GAS COCA COLA ORIGINAL LAT 355ML,SPRITE,BEVERAGES - CARBONATED-D95,70413177,5.05,345.02,77.0,24,24,0,5,4,20,16.67,1,0,8,4451.970000000001,Diferente al Primario | Igual al Primario
GT,SUPERMERCADOS,D - VERDE,70413177,REFRESC GAS COCA COLA ORIGINAL LAT 355ML,SPRITE,BEVERAGES - CARBONATED-D95,70413177,5.0,85.15,20.0,24,24,0,6,5,19,20.83,1,0,15,44679.27,Diferente al Primario | Igual al Primario
GT,SUPERMERCADOS,B - NARANJA,70413177,REFRESC GAS COCA COLA ORIGINAL LAT 355ML,SPRITE,BEVERAGES - CARBONATED-D95,70413177,5.0,9170.99,2061.0,24,24,0,5,5,19,20.83,1,0,3,23825.34,Diferente al Primario | Igual al Primario
GT,SUPERMERCADOS,E - AZUL,70413177,REFRESC GAS COCA COLA ORIGINAL LAT 355ML,SPRITE,BEVERAGES - CARBONATED-D95,70413177,5.0,0.0,0.0,24,24,0,6,5,19,20.83,1,0,16,3321.609999999999,Diferente al Primario | Igual al Primario
GT,SUPERMERCADOS,B - NARANJA,70478710,CERVEZA EL ZAPOTE SCOTTISH ALE BOT 350ML,EL ZAPOTE,BEVERAGE ALCOHOL - BEER D96,70478710,11.0,0.0,0.0,22,22,0,2,4,18,18.18,1,0,10,512.31,Diferente al Primario | Igual al Primario
CR,WALMART,HEREDIA - GAM,70094939,TINTE IGORA VITAL RUBIO CLAR CE 8 1 50ML,IGORA VITAL,HAIR CARE - COLOR D02,70094939,5400.0,19116.0,4.0,17,17,0,3,1,16,5.88,1,0,5,179197.0,Diferente al Primario | Igual al Primario
GT,DESCUENTO,B - NARANJA,70413177,REFRESC GAS COCA COLA ORIGINAL LAT 355ML,SPRITE,BEVERAGES - CARBONATED-D95,70413177,5.05,25629.04,5700.0,20,20,0,6,4,16,20.0,1,0,2,59042.05000000001,Diferente al Primario | Igual al Primario
GT,DESCUENTO,C - AMARILLA,70413177,REFRESC GAS COCA COLA ORIGINAL LAT 355ML,SPRITE,BEVERAGES - CARBONATED-D95,70413177,5.05,10991.57,2452.0,20,20,0,5,4,16,20.0,1,0,4,40221.81999999999,Diferente al Primario | Igual al Primario
GT,DESCUENTO,A - ROJA,70413177,REFRESC GAS COCA COLA ORIGINAL LAT 355ML,SPRITE,BEVERAGES - CARBONATED-D95,70413177,5.05,9621.42,2145.0,20,20,0,5,4,16,20.0,1,0,4,28637.589999999997,Diferente al Primario | Igual al Primario
GT,DESCUENTO,E - AZUL,70413177,REFRESC GAS COCA COLA ORIGINAL LAT 355ML,SPRITE,BEVERAGES - CARBONATED-D95,70413177,5.05,7641.59,1699.0,20,20,0,4,4,16,20.0,1,0,7,20209.7,Diferente al Primario | Igual al Primario
HN,DESCUENTO,A - ROJA,75202545,ZUKO FRESA 13GR,ZUKO,BEVERAGES - FLAVORED-D95,75202545,1.0,690.0,115.0,19,19,0,3,4,15,21.05,1,0,0,31190.879999999997,Diferente al Primario | Igual al Primario
GT,BODEGAS,B - NARANJA,75185361,RTD KARMA PINA COLADA 350ML,KARMA,BEVERAGE ALCOHOL - COCKTAIL D96,75185361,6.15,393.97,73.0,16,16,0,5,1,15,6.25,1,0,1,3816.92,Diferente al Primario | Igual al Primario
GT,BODEGAS,C - AMARILLA,75185361,RTD KARMA PINA COLADA 350ML,KARMA,BEVERAGE ALCOHOL - COCKTAIL D96,75185361,6.15,80.65,15.0,16,16,0,5,1,15,6.25,1,0,8,2426.14,Diferente al Primario | Igual al Primario
GT,BODEGAS,A - ROJA,75185361,RTD KARMA PINA COLADA 350ML,KARMA,BEVERAGE ALCOHOL - COCKTAIL D96,75185361,6.15,146.53,27.0,16,16,0,5,1,15,6.25,1,0,10,560.31,Diferente al Primario | Igual al Primario
GT,BODEGAS,E - AZUL,75185361,RTD KARMA PINA COLADA 350ML,KARMA,BEVERAGE ALCOHOL - COCKTAIL D96,75185361,6.15,164.7,30.0,16,16,0,3,1,15,6.25,1,0,11,274.9,Diferente al Primario | Igual al Primario
CR,BODEGAS,RURAL NORTE,70448102,TINTE KOLESTON KIT 67 CHOCOLATE 1 UN,KOLESTON PERFECT,HAIR CARE - COLOR D02,70448102,7010.0,60509.0,10.0,20,20,0,3,7,13,35.0,1,0,3,525318.0,Diferente al Primario | Igual al Primario
CR,BODEGAS,ALAJUELA - GAM,70448102,TINTE KOLESTON KIT 67 CHOCOLATE 1 UN,KOLESTON PERFECT,HAIR CARE - COLOR D02,70448102,7710.0,25142.0,4.0,20,20,0,3,7,13,35.0,1,0,3,366239.0,Diferente al Primario | Igual al Primario
CR,BODEGAS,GUANACASTE,70448102,TINTE KOLESTON KIT 67 CHOCOLATE 1 UN,KOLESTON PERFECT,HAIR CARE - COLOR D02,70448102,7010.0,31020.0,5.0,20,20,0,3,7,13,35.0,1,0,5,295210.0,Diferente al Primario | Igual al Primario
