PAIS,Formato,ZONA,CODIGO_FAMILIA,DESC_PRIMARIO,SKU_PRIMARIO,PRECIO_PRIMARIO,TAMANO_PRIMARIO,MEDIDA_PRIMARIO,SKU_SECUNDARIO,AGRUPACION,DESC_SECUNDARIO,PRECIO_SECUNDARIO,TAMANO_SECUNDARIO,MEDIDA_SECUNDARIO,FACTOR_DE_CONVERSION,AHORRO_DIFERENCIAL,DIFERENCIA_ABSOLUTA,DIFERENCIA_PCT,EVALUACION,Ventas,Rotaciones,Sell_QTY,CATEGORIA,MARCA
CR,DESCUENTO,SAN JOSE,9216954,ACEITE SOYA SABEMAS BOTE 3000 ML,9216954,3500.0,3000.0,ML,70172828,SECUNDARIO,ACEITE SABEMAS SOYA 900 ML,800.0,900.0,ML,0.3,1.07062665850173,-2700.0,-77.14,REVISAR: Precio menor al primario,8053262.0,10204.0,900.0,OILS & FATS-D92,SABEMAS
CR,DESCUENTO,CARTAGO,75260390,LECHE SULI SEMIDESCREMADA UHT 1000ML,75260390,730.0,1000.0,ML,75260389,SECUNDARIO,LECHE SULI SEMIDESCREMADA UHT 3000ML 3PK,2210.0,3000.0,ML,3.0,0.96,1480.0,202.74,Mayor al primario - Esperado para pack,7022518.0,3220.0,3000.0,MILK&CREM-SUBSTUT-SHELF-D95,SULI
CR,DESCUENTO,SAN JOSE,70361629,LECHE UHT PROD BIENESTAR 2PINOS 1000 ML,70361629,950.0,1000.0,ML,70156186,SECUNDARIO,LECHE PROD BIENESTAR 3 PACK 1000 ML,2350.0,3000.0,ML,3.0,0.85,1400.0,147.37,Mayor al primario - Esperado para pack,6695122.0,2889.0,3000.0,MILK&CREM-SUBSTUT-SHELF-D95,DOS PINOS
CR,DESCUENTO,SAN JOSE,75053378,ATUN SULI TROCITOS EN ACEITE 140 GR,75053378,470.0,140.0,GR,75068000,SECUNDARIO,ATÚN SULI TROCITOS EN ACEITE 6PK 840GR,2770.0,840.0,GR,6.0,0.83,2300.0,489.36,Mayor al primario - Esperado para pack,6661500.0,2436.0,840.0,SEAFOOD-FISH-D92,SULI
CR,BODEGAS,RURAL NORTE,9514981,DOS PINOS LECHE EN POLVO PINITO 400GR,9514981,2890.0,400.0,GR,75171033,SECUNDARIO,LECHE POLVO PINITO 3 PACK 1200GR,5780.0,1200.0,GR,3.0,0.66,2890.0,100.0,Mayor al primario - Esperado para pack,6117347.0,1078.0,1200.0,MILK&CREM-SUBSTUT-SHELF-D95,DOS PINOS
CR,DESCUENTO,CARTAGO,75053378,ATUN SULI TROCITOS EN ACEITE 140 GR,75053378,470.0,140.0,GR,75068000,SECUNDARIO,ATÚN SULI TROCITOS EN ACEITE 6PK 840GR,2940.0,840.0,GR,6.0,0.83,2470.0,525.53,Mayor al primario - Esperado para pack,5935484.0,2045.0,840.0,SEAFOOD-FISH-D92,SULI
CR,WALMART,SAN JOSE,70073499,LECHE DOBLE PROTEINA UHT DP 946ML EDGE,70073499,1720.0,946.0,ML,75114759,SECUNDARIO,LECHE DOBLE PROTEINA UHT DP 3PACK 946 ML,4000.0,2838.0,ML,3.0,0.85,2280.0,132.56,Mayor al primario - Esperado para pack,5933677.0,1502.0,2838.0,MILK&CREM-SUBSTUT-SHELF-D95,DOS PINOS
CR,DESCUENTO,PE CARTAGO,70055293,MOLIDA ESPECIAL RES MAGRA 85 GRASA 15 KG,70055293,3950.0,1.0,KG,70498829,SECUNDARIO,MOLIDA ESPECIAL 85 MAGRA 15 GRASA 500G,1970.0,500.0,GR,0.5,1.0,-1980.0,-50.13,REVISAR: Precio menor al primario,5724076.0,3617.0,500.0,BEEF -D93,DON CRISTOBAL
CR,DESCUENTO,CARTAGO,9216954,ACEITE SOYA SABEMAS BOTE 3000 ML,9216954,3500.0,3000.0,ML,70172828,SECUNDARIO,ACEITE SABEMAS SOYA 900 ML,800.0,900.0,ML,0.3,1.07062665850173,-2700.0,-77.14,REVISAR: Precio menor al primario,5449684.0,6904.0,900.0,OILS & FATS-D92,SABEMAS
CR,DESCUENTO,CARTAGO,9514981,DOS PINOS LECHE EN POLVO PINITO 400GR,9514981,3000.0,400.0,GR,75171033,SECUNDARIO,LECHE POLVO PINITO 3 PACK 1200GR,5940.0,1200.0,GR,3.0,0.66,2940.0,98.0,Mayor al primario - Esperado para pack,5404881.0,922.0,1200.0,MILK&CREM-SUBSTUT-SHELF-D95,DOS PINOS
