UPC,PAIS,COMPETIDOR,ESTATUS
2181,CR,AVENIDA 10,EXISTENTE
4038,CR,AVENIDA 10,EXISTENTE
4050,CR,AVENIDA 10,EXISTENTE
4060,CR,AVENIDA 10,EXISTENTE
4082,CR,AVENIDA 10,EXISTENTE
4083,CR,AVENIDA 10,EXISTENTE
4237,CR,AVENIDA 10,EXISTENTE
4261,CR,AVENIDA 10,EXISTENTE
4299,CR,AVENIDA 10,EXISTENTE
4416,CR,AVENIDA 10,EXISTENTE
4460,CR,AVENIDA 10,EXISTENTE
4554,CR,AVENIDA 10,EXISTENTE
4562,CR,AVENIDA 10,EXISTENTE
4572,CR,AVENIDA 10,EXISTENTE
4583,CR,AVENIDA 10,EXISTENTE
4597,CR,AVENIDA 10,EXISTENTE
4636,CR,AVENIDA 10,EXISTENTE
4664,CR,AVENIDA 10,EXISTENTE
4665,CR,AVENIDA 10,EXISTENTE
4687,CR,AVENIDA 10,EXISTENTE
4759,CR,AVENIDA 10,EXISTENTE
4789,CR,AVENIDA 10,EXISTENTE
4824,CR,AVENIDA 10,EXISTENTE
4826,CR,AVENIDA 10,EXISTENTE
5081,CR,AVENIDA 10,EXISTENTE
5082,CR,AVENIDA 10,EXISTENTE
5085,CR,AVENIDA 10,EXISTENTE
7011,CR,AVENIDA 10,EXISTENTE
7064,CR,AVENIDA 10,EXISTENTE
7074,CR,AVENIDA 10,EXISTENTE
7085,CR,AVENIDA 10,EXISTENTE
7138,CR,AVENIDA 10,EXISTENTE
7235,CR,AVENIDA 10,EXISTENTE
7395,CR,AVENIDA 10,EXISTENTE
7579,CR,AVENIDA 10,EXISTENTE
7635,CR,AVENIDA 10,EXISTENTE
7699,CR,AVENIDA 10,EXISTENTE
7846,CR,AVENIDA 10,EXISTENTE
8323,CR,AVENIDA 10,EXISTENTE
8590,CR,AVENIDA 10,EXISTENTE
5019638,CR,AVENIDA 10,EXISTENTE
7410307,CR,AVENIDA 10,EXISTENTE
7502660,CR,AVENIDA 10,EXISTENTE
7502796,CR,AVENIDA 10,EXISTENTE
7503160,CR,AVENIDA 10,EXISTENTE
7506279,CR,AVENIDA 10,EXISTENTE
7506280,CR,AVENIDA 10,EXISTENTE
7506281,CR,AVENIDA 10,EXISTENTE
7506282,CR,AVENIDA 10,EXISTENTE
7506283,CR,AVENIDA 10,EXISTENTE
7506284,CR,AVENIDA 10,EXISTENTE
7506285,CR,AVENIDA 10,EXISTENTE
7506289,CR,AVENIDA 10,EXISTENTE
7506292,CR,AVENIDA 10,EXISTENTE
7507310,CR,AVENIDA 10,EXISTENTE
7507311,CR,AVENIDA 10,EXISTENTE
7507633,CR,AVENIDA 10,EXISTENTE
7507638,CR,AVENIDA 10,EXISTENTE
7507669,CR,AVENIDA 10,EXISTENTE
7507733,CR,AVENIDA 10,EXISTENTE
7507734,CR,AVENIDA 10,EXISTENTE
7508178,CR,AVENIDA 10,EXISTENTE
7892345,CR,AVENIDA 10,EXISTENTE
7892422,CR,AVENIDA 10,EXISTENTE
7892446,CR,AVENIDA 10,EXISTENTE
7892850,CR,AVENIDA 10,EXISTENTE
7893084,CR,AVENIDA 10,EXISTENTE
7893335,CR,AVENIDA 10,EXISTENTE
1141825838,CR,AVENIDA 10,EXISTENTE
1141839946,CR,AVENIDA 10,EXISTENTE
1141846231,CR,AVENIDA 10,EXISTENTE
1141874517,CR,AVENIDA 10,EXISTENTE
1141890598,CR,AVENIDA 10,EXISTENTE
1300000076,CR,AVENIDA 10,EXISTENTE
1300000137,CR,AVENIDA 10,EXISTENTE
1600020711,CR,AVENIDA 10,EXISTENTE
1600020769,CR,AVENIDA 10,EXISTENTE
1600020771,CR,AVENIDA 10,EXISTENTE
1780016542,CR,AVENIDA 10,EXISTENTE
1920002845,CR,AVENIDA 10,EXISTENTE
1920079329,CR,AVENIDA 10,EXISTENTE
1920081145,CR,AVENIDA 10,EXISTENTE
1920098365,CR,AVENIDA 10,EXISTENTE
2100002679,CR,AVENIDA 10,EXISTENTE
2310005104,CR,AVENIDA 10,EXISTENTE
2696485274,CR,AVENIDA 10,EXISTENTE
2696486018,CR,AVENIDA 10,EXISTENTE
2696488013,CR,AVENIDA 10,EXISTENTE
2840000022,CR,AVENIDA 10,EXISTENTE
2840001701,CR,AVENIDA 10,EXISTENTE
2840001714,CR,AVENIDA 10,EXISTENTE
2840001748,CR,AVENIDA 10,EXISTENTE
2840001843,CR,AVENIDA 10,EXISTENTE
2840002357,CR,AVENIDA 10,EXISTENTE
2840002540,CR,AVENIDA 10,EXISTENTE
2840005598,CR,AVENIDA 10,EXISTENTE
2840007098,CR,AVENIDA 10,EXISTENTE
2840057099,CR,AVENIDA 10,EXISTENTE
3077208726,CR,AVENIDA 10,EXISTENTE
3077209095,CR,AVENIDA 10,EXISTENTE
3384400005,CR,AVENIDA 10,EXISTENTE
3384400008,CR,AVENIDA 10,EXISTENTE
3384400019,CR,AVENIDA 10,EXISTENTE
3384400021,CR,AVENIDA 10,EXISTENTE
3384400024,CR,AVENIDA 10,EXISTENTE
3384400025,CR,AVENIDA 10,EXISTENTE
3384400027,CR,AVENIDA 10,EXISTENTE
3384400029,CR,AVENIDA 10,EXISTENTE
3384400030,CR,AVENIDA 10,EXISTENTE
3384400037,CR,AVENIDA 10,EXISTENTE
3384400070,CR,AVENIDA 10,EXISTENTE
3384400099,CR,AVENIDA 10,EXISTENTE
3384400101,CR,AVENIDA 10,EXISTENTE
3384400209,CR,AVENIDA 10,EXISTENTE
3384400220,CR,AVENIDA 10,EXISTENTE
3384400399,CR,AVENIDA 10,EXISTENTE
3384400491,CR,AVENIDA 10,EXISTENTE
3384400735,CR,AVENIDA 10,EXISTENTE
3384400757,CR,AVENIDA 10,EXISTENTE
3400000312,CR,AVENIDA 10,EXISTENTE
3400019066,CR,AVENIDA 10,EXISTENTE
3400019148,CR,AVENIDA 10,EXISTENTE
3400019647,CR,AVENIDA 10,EXISTENTE
3400027001,CR,AVENIDA 10,EXISTENTE
3700062299,CR,AVENIDA 10,EXISTENTE
3700062302,CR,AVENIDA 10,EXISTENTE
3700062310,CR,AVENIDA 10,EXISTENTE
3700062314,CR,AVENIDA 10,EXISTENTE
3700062321,CR,AVENIDA 10,EXISTENTE
3700086223,CR,AVENIDA 10,EXISTENTE
3700086224,CR,AVENIDA 10,EXISTENTE
3700086225,CR,AVENIDA 10,EXISTENTE
3700086226,CR,AVENIDA 10,EXISTENTE
3800018493,CR,AVENIDA 10,EXISTENTE
3800018494,CR,AVENIDA 10,EXISTENTE
3800018495,CR,AVENIDA 10,EXISTENTE
3800084674,CR,AVENIDA 10,EXISTENTE
3800084675,CR,AVENIDA 10,EXISTENTE
3810017120,CR,AVENIDA 10,EXISTENTE
3994409909,CR,AVENIDA 10,EXISTENTE
3994419909,CR,AVENIDA 10,EXISTENTE
4000001731,CR,AVENIDA 10,EXISTENTE
4000001732,CR,AVENIDA 10,EXISTENTE
4122472210,CR,AVENIDA 10,EXISTENTE
