COD_PAIS,PAIS,COD_FORMATO,FORMATO,COD_ZONA,SECUENCIA,NOMB_ZONE,COD_ESC,COD_ZNFCN,DSCRPCN_MAPEO_ZONA,PRICE_EVENT_TYPE,PRECIO_GPI_C_IMP,PRECIO_GPI_S_IMP,PRECIO_GP,PRECIO_AT,PRECIO_VENTA,TAX,STORE_NBR,ITEM,UPC,DESCRIPCION,DESCRIPCION_1,DESCRIPCION_2,DESCRIPCION_SHOP,DESCRIPCION_UPC,ITEM_PRINCIPAL_XREF,ITEM_ENLAZADO_XREF,TIPO_XREF,JUSTIFICACION_XREF,ROL_XREF,COD_DIV,DIVISION,COD_SUBDIV,SUBDIVISION,DEPT_NBR,N_DEPTO,DPTO_DESC,ESTATUS,CANAL,TIPO,SUBTIPO,ORDERBOOK,CWO,MBM,N_FINELINE,FINELINE_DESC,CATEGORY_NBR,CATEGORY_DESC,SUBCATEGORY,N_MARCA,MARCA_DESC,N_VENDOR,VENDOR_DESC,F_CREADO,F_EFECTIVA,F_FINAL,UXC_DESC,UDM,SELL_PACK_QTY,SELL_QTY,IND_BASCULA,IND_TRASTIENDA,PRODUCT_NBR,COSTO,COST_UNIT,PRECIO_EV_4K,PRECIO_FINAL,ROTACIONES,VENTAS,INVENTARIO,ORDENADO,EN_TRANSITO,EN_CD,FIJACION,TC,EFFECTIVE_DATE,EXPIRATION_DATE,LAST_CHANGE_TS,EXTRACT_DATE,EXTRACT_YR,SW
1,CR,4,SUPERMERCADOS,10004,26,SAN JOSE,1,1,MAPEO ABCO,SB,1040.0,9.2,,,,0.13,4076,70361612,7503160,CERVEZA MODELO ESPECIAL BOTELLA 355 ML,MODELO CERVEZA ESPEC,CR BEER LAGER UND,,MODELO BOTE,75494729,70361612,VIGENTE,CAMBIO DE UPC,ENLAZADO,100,ABARROTES,102,BEBIDAS PLUS,96,96,LIQUOR,I,RESURTIBLE IMPORTADO,40,0,false,true,M,1025,CERVEZA LAGER UNIDAD,6894,BEVERAGE ALCOHOL - BEER D96,LAGER,4259,MODELO,226626,AMBEV LUXEMBOURG SOCIETE A RES,2020-12-16T00:00:00.000Z,2020-12-30T00:00:00.000Z,2049-12-31T00:00:00.000Z,355ML,ML,1.0,355.0,false,false,1613112,16925.5468,705.233,,1040.0,,,,,,,,507.0,2026-04-19T00:00:00+00:00,2049-12-31T00:00:00+00:00,2026-04-19T15:01:36.488000+00:00,2026-06-29T00:00:00+00:00,2026,22
1,CR,4,SUPERMERCADOS,10004,26,SAN JOSE,1,1,MAPEO ABCO,SB,3560.0,31.5,,,3559.5,0.13,4076,75152246,744100350660,REFRESC GAS COCA COLA ZERO 8P 2840ML,COCA SIN AZUCAR 8P,CR COCA SIN AZUCA 8P,,COCA SIN AZU,75152246,75152246,NO_XREF,N/A,PRINCIPAL,100,ABARROTES,102,BEBIDAS PLUS,95,95,DSD GROCERY,A,RESURTIBLE,37,0,true,false,P,1702,BEB COLA LIGHT PERSO,6987,BEVERAGES - CARBONATED-D95,COLAS,1324,COCA-COLA,18294,COCA COLA FEMSA DE COSTA RICA,2023-12-28T00:00:00.000Z,2024-09-23T00:00:00.000Z,2049-12-31T00:00:00.000Z,2840ML,ML,8.0,2840.0,false,false,75191337,2849.86,2849.86,,3560.0,10.0,31500.0,17,0,0,0,,507.0,2026-06-11T00:00:00+00:00,2049-12-31T00:00:00+00:00,2026-06-11T19:01:34.497000+00:00,2026-06-29T00:00:00+00:00,2026,22
1,CR,4,SUPERMERCADOS,10004,26,SAN JOSE,1,1,MAPEO ABCO,SB,1380.0,12.21,,,1379.73,0.13,4076,75495146,1820025000,CERVEZA BUDWEISER 740 ML,BUDWEISER 740ML,CRBUDWEISER 740ML,,BUDWEISER LT,75495146,70326206/70299718,VIGENTE,CAMBIO DE UPC,PRINCIPAL,100,ABARROTES,102,BEBIDAS PLUS,96,96,LIQUOR,A,RESURTIBLE,37,0,true,false,M,1025,CERVEZA LAGER UNIDAD,6894,BEVERAGE ALCOHOL - BEER D96,LAGER,890,BUDWEISER,18294,COCA COLA FEMSA DE COSTA RICA,2026-04-17T00:00:00.000Z,2026-04-27T00:00:00.000Z,2049-12-31T00:00:00.000Z,740 ML,ML,1.0,740.0,false,false,1911408,15749.94,1049.996,,1380.0,19.0,23199.0,35,0,0,0,,507.0,2026-04-19T00:00:00+00:00,2049-12-31T00:00:00+00:00,2026-04-19T15:01:36.595000+00:00,2026-06-29T00:00:00+00:00,2026,22
1,CR,4,SUPERMERCADOS,10004,26,SAN JOSE,1,1,MAPEO ABCO,RB,1400.0,12.39,,,1400.07,0.13,4076,70451826,744301230031,CERVEZA MARBELLA TROPICAL ALE LAT 355 ML,COSTA R  CRAFT MARBE,CR CRAFT MARBELLA,,CR CRAFT MAR,70451826,70451826,NO_XREF,N/A,PRINCIPAL,100,ABARROTES,102,BEBIDAS PLUS,96,96,LIQUOR,A,RESURTIBLE,33,0,true,false,M,1028,CERVEZA ARTESANAL,6894,BEVERAGE ALCOHOL - BEER D96,LAGER,52757,COSTA RICA'S CRAFT,19539,CENTRAL VETERINARIA S A,2020-02-27T00:00:00.000Z,2021-01-18T00:00:00.000Z,2049-12-31T00:00:00.000Z,355 ML,ML,1.0,355.0,false,false,1569241,15531.4884,1294.2907,,1400.0,7.0,8673.0,18,0,0,0,RB/MOM,507.0,2026-06-01T00:00:00+00:00,2026-07-21T00:00:00+00:00,2026-05-28T11:02:10.645000+00:00,2026-06-29T00:00:00+00:00,2026,22
1,CR,4,SUPERMERCADOS,10004,26,SAN JOSE,1,1,MAPEO ABCO,SB,4800.0,42.48,,,,0.13,4076,70098423,744107825927,CERVEZ CEZKA PAGUE10 LLEVE12 LAT 330ML,CEZKA 12PACK LAT 330,CR CEZKA CERVEZ 12PK,,CEZKA 12PACK,70098423,70098423,NO_XREF,N/A,PRINCIPAL,100,ABARROTES,102,BEBIDAS PLUS,96,96,LIQUOR,A,RESURTIBLE IMPORTADO,40,1,true,false,M,1000,CERVEZA LAGER PAQ,6894,BEVERAGE ALCOHOL - BEER D96,LAGER,50116,CEZKA,10963,DAMM GLOBAL BARCELONA SL,2022-09-05T00:00:00.000Z,2024-06-13T00:00:00.000Z,2049-12-31T00:00:00.000Z,3960ML,ML,1.0,3960.0,false,false,2123053,2985.3018,2985.3018,,4800.0,,,6,0,0,0,,507.0,2026-06-03T00:00:00+00:00,2049-12-31T00:00:00+00:00,2026-06-03T19:03:22.252000+00:00,2026-06-29T00:00:00+00:00,2026,22
1,CR,4,SUPERMERCADOS,10004,26,SAN JOSE,1,1,MAPEO ABCO,SB,840.0,7.43,,,839.59,0.13,4076,70240238,76400901749,CERVEZA ROCK ICE BOT LIM 350 ML,RO ICE CERVE LIM BOT,CR ROCK ICE CERV,,ROCKICELL350,70240238,70240238,NO_XREF,N/A,PRINCIPAL,100,ABARROTES,102,BEBIDAS PLUS,96,96,LIQUOR,A,RESURTIBLE,37,1,true,false,M,1025,CERVEZA LAGER UNIDAD,6894,BEVERAGE ALCOHOL - BEER D96,LAGER,5456,ROCK ICE,17707,DISTRIBUIDORA LA FLORIDA SOCIE,2014-01-23T00:00:00.000Z,2014-02-17T00:00:00.000Z,2049-12-31T00:00:00.000Z,350ML,ML,1.0,350.0,false,false,1911383,17023.2014,709.301,,840.0,3.0,2229.0,20,0,0,0,,507.0,2026-03-05T00:00:00+00:00,2049-12-31T00:00:00+00:00,2026-03-05T16:02:39.599000+00:00,2026-06-29T00:00:00+00:00,2026,22
1,CR,4,SUPERMERCADOS,10004,26,SAN JOSE,1,1,MAPEO ABCO,RB,4700.0,41.59,,,4699.67,0.13,4076,9664379,76400900999,CERVEZA IMPERIAL LATA 6PACK 350 ML,IMPERIA CERV LAT 6PK,CR CERVEZA LATA PACK,,IMPERIAL 6P,9664379,9664379,NO_XREF,N/A,PRINCIPAL,100,ABARROTES,102,BEBIDAS PLUS,96,96,LIQUOR,A,RESURTIBLE,37,0,true,false,M,1000,CERVEZA LAGER PAQ,6894,BEVERAGE ALCOHOL - BEER D96,LAGER,3035,IMPERIAL,17707,DISTRIBUIDORA LA FLORIDA SOCIE,2012-05-24T00:00:00.000Z,2015-07-13T00:00:00.000Z,2049-12-31T00:00:00.000Z,2100ML,ML,6.0,2100.0,false,false,832278,17056.0053,4263.9985,,4700.0,34.0,141406.0,,,,,RB/MOM,507.0,2026-04-30T00:00:00+00:00,2026-07-21T00:00:00+00:00,2026-04-29T19:03:20.534000+00:00,2026-06-29T00:00:00+00:00,2026,22
1,CR,4,SUPERMERCADOS,10004,26,SAN JOSE,1,1,MAPEO ABCO,SB,2190.0,19.38,,,,0.13,4076,75302248,770209006008,2 PK GAS MAN UVA 3000 ML,2 PK MAN UVA POS,CR POST MAN UVA,,2PK MAN UVA,75302248,75302248,NO_XREF,N/A,PRINCIPAL,100,ABARROTES,102,BEBIDAS PLUS,95,95,DSD GROCERY,A,RESURTIBLE,20,0,true,false,P,1754,BEB SABOR REGUL FAMI,6987,BEVERAGES - CARBONATED-D95,FLAVORED-D95,50890,POSTOBON,25871,CIAMESA SA,2025-01-28T00:00:00.000Z,2025-05-01T00:00:00.000Z,2049-12-31T00:00:00.000Z,3000,ML,1.0,3000.0,false,false,75547292,1595.56,1595.56,,2190.0,,,,,,,,507.0,2025-01-29T00:00:00+00:00,2049-12-31T00:00:00+00:00,2025-01-29T11:01:45.933000+00:00,2026-06-29T00:00:00+00:00,2026,22
1,CR,4,SUPERMERCADOS,10004,26,SAN JOSE,1,1,MAPEO ABCO,SB,640.0,5.66,,,,0.13,4076,75382606,63736410120,COLAKOLASHALERREFRESCO 354ML,COLAKOLASHALER354ML,CRKOLASHALER354ML,,KOLASHALER,75382606,75210917,VIGENTE,CAMBIO DE VENDOR,PRINCIPAL,100,ABARROTES,102,BEBIDAS PLUS,95,95,DSD GROCERY,A,RESURTIBLE,20,0,true,false,M,1706,BEB COLA REGUL PERSO,6987,BEVERAGES - CARBONATED-D95,COLAS,14608,KOLA SHALER,52359,3101846977 SOCIEDAD ANONIMA,2025-07-08T00:00:00.000Z,2025-09-01T00:00:00.000Z,2049-12-31T00:00:00.000Z,354,ML,24.0,354.0,false,false,75293930,11526.0,480.25,,640.0,,,,,,,,507.0,2025-07-09T00:00:00+00:00,2049-12-31T00:00:00+00:00,2025-07-09T11:01:27.707000+00:00,2026-06-29T00:00:00+00:00,2026,22
1,CR,4,SUPERMERCADOS,10004,26,SAN JOSE,1,1,MAPEO ABCO,SB,850.0,7.52,,,848.4986,0.13,4076,9510535,744100357348,REFRESC GAS GINGER ALE LIGHT PET 600ML,CANADA DRY GINGER,CR S DRK GIN LIGHT,,GIN LIGH 600,9510535,9510535,NO_XREF,N/A,PRINCIPAL,100,ABARROTES,102,BEBIDAS PLUS,95,95,DSD GROCERY,A,RESURTIBLE,37,0,true,false,M,1702,BEB COLA LIGHT PERSO,6987,BEVERAGES - CARBONATED-D95,COLAS,969,CANADA DRY,18294,COCA COLA FEMSA DE COSTA RICA,2004-09-10T00:00:00.000Z,2008-06-16T00:00:00.000Z,2049-12-31T00:00:00.000Z,600ML,ML,1.0,600.0,false,false,91280,8813.5593,734.4661,,850.0,129.0,96864.0,,,,,,507.0,2026-06-11T00:00:00+00:00,2049-12-31T00:00:00+00:00,2026-06-11T19:01:16.686000+00:00,2026-06-29T00:00:00+00:00,2026,22
