COD_PAIS,PAIS,COD_FORMATO,FORMATO,COD_ZONA,SECUENCIA,NOMB_ZONE,COD_ESC,COD_ZNFCN,DSCRPCN_MAPEO_ZONA,PRICE_EVENT_TYPE,PRECIO_GPI_C_IMP,PRECIO_GPI_S_IMP,PRECIO_GP,PRECIO_AT,PRECIO_VENTA,TAX,STORE_NBR,ITEM,UPC,DESCRIPCION,DESCRIPCION_1,DESCRIPCION_2,DESCRIPCION_SHOP,DESCRIPCION_UPC,ITEM_PRINCIPAL_XREF,ITEM_ENLAZADO_XREF,TIPO_XREF,JUSTIFICACION_XREF,ROL_XREF,COD_DIV,DIVISION,COD_SUBDIV,SUBDIVISION,DEPT_NBR,N_DEPTO,DPTO_DESC,ESTATUS,CANAL,TIPO,SUBTIPO,ORDERBOOK,CWO,MBM,N_FINELINE,FINELINE_DESC,CATEGORY_NBR,CATEGORY_DESC,SUBCATEGORY,N_MARCA,MARCA_DESC,N_VENDOR,VENDOR_DESC,F_CREADO,F_EFECTIVA,F_FINAL,UXC_DESC,UDM,SELL_PACK_QTY,SELL_QTY,IND_BASCULA,IND_TRASTIENDA,PRODUCT_NBR,COSTO,COST_UNIT,PRECIO_EV_4K,PRECIO_FINAL,ROTACIONES,VENTAS,INVENTARIO,ORDENADO,EN_TRANSITO,EN_CD,FIJACION,TC,EFFECTIVE_DATE,EXPIRATION_DATE,LAST_CHANGE_TS,EXTRACT_DATE,EXTRACT_YR,SW,CODIGO_FAMILIA,AGRUPACION,ITEM_PRIMARIO,DESC_PRIMARIO,VENTAS_PRIMARIO,PRECIO_PRIMARIO,ESTADO_PRECIO,DIFERENCIA_PRECIO,ROTACION
1,CR,4,SUPERMERCADOS,10004,26,SAN JOSE,1,1,MAPEO ABCO,SB,500.0,4.42,,,499.46,0.13,4076,75003032,744100163848,GASEOSA COTUBA CERO 355ML LATA,DP COTU CER LA 355ML,CR COTU CER LA 355ML,,BEB CARBO CO,75003032,75003038,VIGENTE,CAMBIO DE UPC,PRINCIPAL,100,ABARROTES,102,BEBIDAS PLUS,95,95,DSD GROCERY,A,RESURTIBLE,20,47,true,false,M,1752,BEB SABOR LIGHT PERS,6987,BEVERAGES - CARBONATED-D95,FLAVORED-D95,1464,COTUBA,17632,COOPERATIVA DE PRODUCTORES DE,2023-02-07T00:00:00.000Z,2023-06-09T00:00:00.000Z,2049-12-31T00:00:00.000Z,355ML,ML,1.0,355.0,false,false,75003135,2766.24,461.04,,500.0,11.0,4862.0,6,24,0,0,,507.0,2026-06-11T00:00:00+00:00,2049-12-31T00:00:00+00:00,2026-06-11T19:01:30.786000+00:00,2026-06-29T00:00:00+00:00,2026,22,FAM_1_4_10004_0001,PRIMARIO,75003032,GASEOSA COTUBA CERO 355ML LATA,4862.0,500.0,Igual al Primario,0.0,11.0
1,CR,4,SUPERMERCADOS,10004,26,SAN JOSE,1,1,MAPEO ABCO,SB,2500.0,22.12,,,2482.8155,0.13,4076,9522120,744100350015,REFRESC GAS COCA COLA ORIGINAL PE 3000ML,COCA C REF GAS ORIG,CR SUSPENDIDO EN AS4,,COCA ORIG,9522120,9522120,NO_XREF,N/A,PRINCIPAL,100,ABARROTES,102,BEBIDAS PLUS,95,95,DSD GROCERY,A,RESURTIBLE,37,0,true,false,M,1704,BEB COLA REGUL FAMIL,6987,BEVERAGES - CARBONATED-D95,COLAS,1324,COCA-COLA,18294,COCA COLA FEMSA DE COSTA RICA,2008-10-11T00:00:00.000Z,2008-12-08T00:00:00.000Z,2049-12-31T00:00:00.000Z,3000ML,ML,1.0,3000.0,false,false,162343,11409.7456,1901.6205,,2500.0,88.0,193352.0,,,,,/MOM,507.0,2026-04-06T00:00:00+00:00,2049-12-31T00:00:00+00:00,2026-04-01T11:02:24.676000+00:00,2026-06-29T00:00:00+00:00,2026,22,FAM_1_4_10004_0002,PRIMARIO,9522120,REFRESC GAS COCA COLA ORIGINAL PE 3000ML,193352.0,2500.0,Igual al Primario,0.0,88.0
1,CR,4,SUPERMERCADOS,10004,26,SAN JOSE,1,1,MAPEO ABCO,RB,500.0,4.42,,,,0.13,4076,70474098,87303900045,BEBIDA GUARANA COTUBA 600 ML,COTUBA GUARANA,CR COTUBA GUARANA,,COTUBA GUARA,70522371,70474098,VIGENTE,CAMBIO DE UPC,ENLAZADO,100,ABARROTES,102,BEBIDAS PLUS,95,95,DSD GROCERY,I,RESURTIBLE,37,0,false,false,M,1756,BEB SABOR REGUL PERS,6987,BEVERAGES - CARBONATED-D95,FLAVORED-D95,1464,COTUBA,17632,COOPERATIVA DE PRODUCTORES DE,2020-01-23T00:00:00.000Z,2024-10-07T00:00:00.000Z,2025-03-12T00:00:00.000Z,600ML,ML,1.0,600.0,false,false,1549575,8203.8,546.92,,500.0,,,,,,,RB,507.0,2026-06-02T00:00:00+00:00,2026-07-21T00:00:00+00:00,2026-05-28T14:02:26.467000+00:00,2026-06-29T00:00:00+00:00,2026,22,FAM_1_4_10004_0003,PRIMARIO,70474098,BEBIDA GUARANA COTUBA 600 ML,0,500.0,Igual al Primario,0.0,
1,CR,4,SUPERMERCADOS,10004,26,SAN JOSE,1,1,MAPEO ABCO,RB,1000.0,8.85,,,1000.05,0.13,4076,70601186,76400902847,PEPSI ZERO 2 5L PET,PEPSI ZERO 2500 ML,CR PEPSI ZERO,,PEPSI ZERO,70601186,70601186,NO_XREF,N/A,PRINCIPAL,100,ABARROTES,102,BEBIDAS PLUS,95,95,DSD GROCERY,A,RESURTIBLE,37,0,true,false,M,1704,BEB COLA REGUL FAMIL,6987,BEVERAGES - CARBONATED-D95,COLAS,4907,PEPSI,17707,DISTRIBUIDORA LA FLORIDA SOCIE,2017-10-26T00:00:00.000Z,2018-04-09T00:00:00.000Z,2049-12-31T00:00:00.000Z,2500ML,ML,1.0,2500.0,false,false,1715958,5329.08,888.18,,1000.0,130.0,115050.0,228,0,0,0,RB/MOM,507.0,2026-06-02T00:00:00+00:00,2026-07-21T00:00:00+00:00,2026-05-28T14:02:51.734000+00:00,2026-06-29T00:00:00+00:00,2026,22,FAM_1_4_10004_0004,PRIMARIO,70601186,PEPSI ZERO 2 5L PET,115050.0,1000.0,Igual al Primario,0.0,130.0
1,CR,4,SUPERMERCADOS,10004,26,SAN JOSE,1,1,MAPEO ABCO,RB,500.0,4.42,,,,0.13,4076,70677265,87303900045,BEBIDA GUARANA COTUBA 600 ML,COTUBA GUARANA,CR COTUBA GUARANA,,COTUBA GUARA,70522371,70677265,VIGENTE,CLASIFICAR,ENLAZADO,100,ABARROTES,102,BEBIDAS PLUS,95,95,DSD GROCERY,I,RESURTIBLE,20,0,false,false,M,1756,BEB SABOR REGUL PERS,6987,BEVERAGES - CARBONATED-D95,FLAVORED-D95,1464,COTUBA,17632,COOPERATIVA DE PRODUCTORES DE,2020-01-29T00:00:00.000Z,2020-02-10T00:00:00.000Z,2049-12-31T00:00:00.000Z,600ML,ML,1.0,600.0,false,false,1549575,8203.8,546.92,,500.0,,,,,,,RB,507.0,2026-06-02T00:00:00+00:00,2026-07-21T00:00:00+00:00,2026-05-28T14:03:03.292000+00:00,2026-06-29T00:00:00+00:00,2026,22,FAM_1_4_10004_0003,SECUNDARIO,70474098,BEBIDA GUARANA COTUBA 600 ML,0,500.0,Igual al Primario,0.0,
1,CR,4,SUPERMERCADOS,10004,26,SAN JOSE,1,1,MAPEO ABCO,SB,3000.0,26.55,,,3000.15,0.13,4076,75263528,744100350700,COCA COLA Y JUGO DEL VALLE 2 PACK 6000ML,PACK COCA Y JUGO,CR PACK COCA Y JUGO,,COCA Y JUGO,75263528,75263528,NO_XREF,N/A,PRINCIPAL,100,ABARROTES,102,BEBIDAS PLUS,95,95,DSD GROCERY,A,RESURTIBLE,37,0,true,false,M,1704,BEB COLA REGUL FAMIL,6987,BEVERAGES - CARBONATED-D95,COLAS,1324,COCA-COLA,18294,COCA COLA FEMSA DE COSTA RICA,2024-09-27T00:00:00.000Z,2025-05-04T00:00:00.000Z,2049-12-31T00:00:00.000Z,6000,ML,1.0,6000.0,false,false,75484262,7215.05,2405.0129,,3000.0,1.0,2655.0,,,,,/MOM,507.0,2026-06-03T00:00:00+00:00,2049-12-31T00:00:00+00:00,2026-05-27T14:03:02.081000+00:00,2026-06-29T00:00:00+00:00,2026,22,FAM_1_4_10004_0005,PRIMARIO,75263528,COCA COLA Y JUGO DEL VALLE 2 PACK 6000ML,2655.0,3000.0,Igual al Primario,0.0,1.0
1,CR,4,SUPERMERCADOS,10004,26,SAN JOSE,1,1,MAPEO ABCO,SB,3000.0,26.55,,,3000.15,0.13,4076,75437976,744100359845,2 PK CCZA CCZA 3L6000ML,2 PK CCZA 3L,CR2PKCCZA,,2PKCCZA,75437976,75437976,NO_XREF,N/A,PRINCIPAL,100,ABARROTES,102,BEBIDAS PLUS,95,95,DSD GROCERY,A,RESURTIBLE,37,0,true,false,M,1760,BEB PACK PERSONAL,6987,BEVERAGES - CARBONATED-D95,FLAVORED-D95,1324,COCA-COLA,18294,COCA COLA FEMSA DE COSTA RICA,2025-11-12T00:00:00.000Z,2026-06-08T00:00:00.000Z,2049-12-31T00:00:00.000Z,6000,ML,1.0,6000.0,false,false,75751902,7379.9961,2459.9987,,3000.0,68.0,180540.0,,,,,/MOM,507.0,2026-02-16T00:00:00+00:00,2049-12-31T00:00:00+00:00,2026-02-05T16:01:40.318000+00:00,2026-06-29T00:00:00+00:00,2026,22,FAM_1_4_10004_0006,PRIMARIO,75437976,2 PK CCZA CCZA 3L6000ML,180540.0,3000.0,Igual al Primario,0.0,68.0
1,CR,4,SUPERMERCADOS,10004,26,SAN JOSE,1,1,MAPEO ABCO,SB,1330.0,11.77,,,1330.01,0.13,4076,70333166,775023617389,BEBIDA GASEOSA INCA KOLA REGULAR 500 ML,INCA KOLA REGULAR,CR INCA KOLA REGULAR,,INCA KOL REG,70333166,70333166,NO_XREF,N/A,PRINCIPAL,100,ABARROTES,102,BEBIDAS PLUS,95,95,DSD GROCERY,A,RESURTIBLE,20,47,true,false,M,1754,BEB SABOR REGUL FAMI,6987,BEVERAGES - CARBONATED-D95,FLAVORED-D95,3046,INCA KOLA,18195,INVERSIONES KR KOPRAM S A,2022-06-22T00:00:00.000Z,2023-07-27T00:00:00.000Z,2049-12-31T00:00:00.000Z,500 ML,ML,1.0,500.0,false,false,2110920,29832.0,1243.0,,1330.0,2.0,2354.0,33,0,0,0,,507.0,2026-06-11T00:00:00+00:00,2049-12-31T00:00:00+00:00,2026-06-11T19:01:19.849000+00:00,2026-06-29T00:00:00+00:00,2026,22,FAM_1_4_10004_0007,SECUNDARIO,70127997,BEBIDA GASEOS INCA KOLA SIN AZUCAR 500ML,10593.0,1330.0,Igual al Primario,0.0,2.0
1,CR,4,SUPERMERCADOS,10004,26,SAN JOSE,1,1,MAPEO ABCO,SB,850.0,7.52,,,846.2287,0.13,4076,9518543,744100352048,REFRESC GAS FANTA NARANJA PET 600ML,FANTA NAR REF ORIG,CR S DRK FANTA ORA,,FTA NAR 600,9518543,9518543,NO_XREF,N/A,PRINCIPAL,100,ABARROTES,102,BEBIDAS PLUS,95,95,DSD GROCERY,A,RESURTIBLE,37,0,true,false,M,1756,BEB SABOR REGUL PERS,6987,BEVERAGES - CARBONATED-D95,FLAVORED-D95,2238,FANTA,18294,COCA COLA FEMSA DE COSTA RICA,1993-04-16T00:00:00.000Z,2008-06-16T00:00:00.000Z,2049-12-31T00:00:00.000Z,600ML,ML,1.0,600.0,false,false,111632,8813.5593,734.4661,,850.0,24.0,17973.0,332,0,0,0,,507.0,2026-06-11T00:00:00+00:00,2049-12-31T00:00:00+00:00,2026-06-11T19:01:17.008000+00:00,2026-06-29T00:00:00+00:00,2026,22,FAM_1_4_10004_0008,SECUNDARIO,9518851,REFRESC GAS FANTA KOLITA PET 600ML,20981.0,850.0,Igual al Primario,0.0,24.0
1,CR,4,SUPERMERCADOS,10004,26,SAN JOSE,1,1,MAPEO ABCO,SB,850.0,7.52,,,849.76,0.13,4076,75244617,4900000050,COCA COLA SABOR CHERRY 355ML,COCA COLA CEREZA,CR COCA CHERRY,,COCA CHERRY,75244617,75244617,NO_XREF,N/A,PRINCIPAL,100,ABARROTES,102,BEBIDAS PLUS,95,95,DSD GROCERY,A,RESURTIBLE,20,0,true,false,M,1706,BEB COLA REGUL PERSO,6987,BEVERAGES - CARBONATED-D95,COLAS,1324,COCA-COLA,178272,COSTAVEN SUPPLY SA,2024-08-12T00:00:00.000Z,2024-08-21T00:00:00.000Z,2049-12-31T00:00:00.000Z,355ML,ML,12.0,355.0,false,false,75103551,7458.0,621.5,,850.0,6.0,4512.0,17,0,0,0,,507.0,2025-07-28T00:00:00+00:00,2049-12-31T00:00:00+00:00,2025-07-25T16:01:38.068000+00:00,2026-06-29T00:00:00+00:00,2026,22,FAM_1_4_10004_0009,SECUNDARIO,75244618,COCA COLA SABOR VAINILLA 355ML,8272.0,850.0,Igual al Primario,0.0,6.0
