PAIS,FORMATO,ZONA,CODIGO_FAMILIA,CATEGORY_NBR,CATEGORY_DESC,MARCA,FINELINE,N_FINELINE,N_MARCA,COST_UNIT,SELL_QTY,TOTAL_SKUS,ITEM_PRIMARIO,DESC_PRIMARIO,VENTAS_PRIMARIO,PRECIO_PRIMARIO,ROTACION_PRIMARIO,N_PRECIOS_DISTINTOS,SKUS_IGUAL_PRECIO,SKUS_DIFERENTE_PRECIO,SKUS_SIN_PRECIO,PCT_ALINEACION,OBSERVACIONES
CR,SUPERMERCADOS,SAN JOSE,FAM_1_4_10004_0001,6894,BEVERAGE ALCOHOL - BEER D96,MODELO,CERVEZA LAGER UNIDAD,1025,4259,705.233,355.0,1,70361612,CERVEZA MODELO ESPECIAL BOTELLA 355 ML,0,1040.0,,1,1,0,0,100.0,Familia con un solo articulo | Primario sin ventas registradas
CR,SUPERMERCADOS,SAN JOSE,FAM_1_4_10004_0002,6987,BEVERAGES - CARBONATED-D95,COCA-COLA,BEB COLA LIGHT PERSO,1702,1324,2849.86,2840.0,1,75152246,REFRESC GAS COCA COLA ZERO 8P 2840ML,31500.0,3560.0,10.0,1,1,0,0,100.0,Familia con un solo articulo
CR,SUPERMERCADOS,SAN JOSE,FAM_1_4_10004_0003,6894,BEVERAGE ALCOHOL - BEER D96,BUDWEISER,CERVEZA LAGER UNIDAD,1025,890,1049.996,740.0,1,75495146,CERVEZA BUDWEISER 740 ML,23199.0,1380.0,19.0,1,1,0,0,100.0,Familia con un solo articulo
CR,SUPERMERCADOS,SAN JOSE,FAM_1_4_10004_0004,6894,BEVERAGE ALCOHOL - BEER D96,COSTA RICA'S CRAFT,CERVEZA ARTESANAL,1028,52757,1294.2907,355.0,2,70451827,CERVEZA INDOMITO INDIAN PALE LAT 355 ML,8799.0,1420.0,7.0,2,1,1,0,50.0,1/2 SKUs desalineados
CR,SUPERMERCADOS,SAN JOSE,FAM_1_4_10004_0005,6894,BEVERAGE ALCOHOL - BEER D96,CEZKA,CERVEZA LAGER PAQ,1000,50116,2985.3018,3960.0,1,70098423,CERVEZ CEZKA PAGUE10 LLEVE12 LAT 330ML,0,4800.0,,1,1,0,0,100.0,Familia con un solo articulo | Primario sin ventas registradas
CR,SUPERMERCADOS,SAN JOSE,FAM_1_4_10004_0006,6894,BEVERAGE ALCOHOL - BEER D96,ROCK ICE,CERVEZA LAGER UNIDAD,1025,5456,709.301,350.0,1,70240238,CERVEZA ROCK ICE BOT LIM 350 ML,2229.0,840.0,3.0,1,1,0,0,100.0,Familia con un solo articulo
CR,SUPERMERCADOS,SAN JOSE,FAM_1_4_10004_0007,6894,BEVERAGE ALCOHOL - BEER D96,IMPERIAL,CERVEZA LAGER PAQ,1000,3035,4263.9985,2100.0,4,9664358,CERVEZA IMPERIAL LIGHT LATA 6P 350 ML,187155.0,4700.0,45.0,1,4,0,0,100.0,OK
CR,SUPERMERCADOS,SAN JOSE,FAM_1_4_10004_0008,6987,BEVERAGES - CARBONATED-D95,POSTOBON,BEB SABOR REGUL FAMI,1754,50890,1595.56,3000.0,2,75302247,2 PK GAS MAN COL 3000 ML,0,2190.0,,1,2,0,0,100.0,Primario sin ventas registradas
CR,SUPERMERCADOS,SAN JOSE,FAM_1_4_10004_0009,6987,BEVERAGES - CARBONATED-D95,KOLA SHALER,BEB COLA REGUL PERSO,1706,14608,480.25,354.0,2,75210917,COLA KOLA SHALER 354ML,0,640.0,,1,2,0,0,100.0,Primario sin ventas registradas
CR,SUPERMERCADOS,SAN JOSE,FAM_1_4_10004_0010,6987,BEVERAGES - CARBONATED-D95,CANADA DRY,BEB COLA LIGHT PERSO,1702,969,734.4661,600.0,1,9510535,REFRESC GAS GINGER ALE LIGHT PET 600ML,96864.0,850.0,129.0,1,1,0,0,100.0,Familia con un solo articulo
CR,SUPERMERCADOS,SAN JOSE,FAM_1_4_10004_0011,6894,BEVERAGE ALCOHOL - BEER D96,POLAR,CERVEZA LAGER UNIDAD,1025,5078,937.5271,355.0,1,75280476,POLAR PILSENER EN VIDRIO 355 ML,5752.0,1250.0,6.0,1,1,0,0,100.0,Familia con un solo articulo
CR,SUPERMERCADOS,SAN JOSE,FAM_1_4_10004_0012,6894,BEVERAGE ALCOHOL - BEER D96,DAMM,CERVEZA LAGER PAQ GF,1001,44749,4260.1,2640.0,1,75495607,8 PK CERVEZAS LATA DEL MUNDO 2640 ML,0,5680.0,,1,1,0,0,100.0,Familia con un solo articulo | Primario sin ventas registradas
CR,SUPERMERCADOS,SAN JOSE,FAM_1_4_10004_0013,6894,BEVERAGE ALCOHOL - BEER D96,MILLER,CERVEZA LAGER UNIDAD,1025,4203,844.11,355.0,2,70021467,CERVEZA MILLER HIGH LIFE BOTELLA 355 ML,9668.0,1020.0,12.0,2,1,1,0,50.0,1/2 SKUs desalineados
CR,SUPERMERCADOS,SAN JOSE,FAM_1_4_10004_0014,6987,BEVERAGES - CARBONATED-D95,COCA-COLA,BEB COLA LIGHT PERSO,1702,1324,651.0043,354.0,1,9515085,REFRES GAS COCA COLA LIGHT LATA 354ML,22216.0,840.0,30.0,1,1,0,0,100.0,Familia con un solo articulo
CR,SUPERMERCADOS,SAN JOSE,FAM_1_4_10004_0015,6894,BEVERAGE ALCOHOL - BEER D96,FLENSBURGER,CERVEZA LAGER UNIDAD,1025,50043,1469.0,330.0,3,75400208,CERVEZA FLENSBURGER DUNKEL 330 ML,0,2260.0,,1,3,0,0,100.0,Primario sin ventas registradas
CR,SUPERMERCADOS,SAN JOSE,FAM_1_4_10004_0016,6894,BEVERAGE ALCOHOL - BEER D96,AMBAR,CERVEZA ARTESANAL,1028,216,975.19,350.0,1,70370311,CERVEZA ESTILO PILSENER BOTELLA 350ML,0,750.0,,1,1,0,0,100.0,Familia con un solo articulo | Primario sin ventas registradas
CR,SUPERMERCADOS,SAN JOSE,FAM_1_4_10004_0017,6894,BEVERAGE ALCOHOL - BEER D96,ESTRELLA,CERVEZA LAGER UNIDAD,1025,2142,1073.0254,330.0,1,70602951,ESTRELLA GALICIA ESPECIAL 330 ML,0,1100.0,,1,1,0,0,100.0,Familia con un solo articulo | Primario sin ventas registradas
CR,SUPERMERCADOS,SAN JOSE,FAM_1_4_10004_0018,6894,BEVERAGE ALCOHOL - BEER D96,BUDWEISER,CERVEZA LAGER UNIDAD,1025,890,1119.83,740.0,1,70326206,CERVEZA BUDWEISER LATA 740ML,0,1380.0,,1,1,0,0,100.0,Familia con un solo articulo | Primario sin ventas registradas
CR,SUPERMERCADOS,SAN JOSE,FAM_1_4_10004_0019,6894,BEVERAGE ALCOHOL - BEER D96,PERONI,CERVEZA LAGER PAQ GF,1001,4915,7160.81,1392.0,1,75495608,CERV PEONNI BOT MAS SNACK QUESO 1392 ML,0,9550.0,,1,1,0,0,100.0,Familia con un solo articulo | Primario sin ventas registradas
CR,SUPERMERCADOS,SAN JOSE,FAM_1_4_10004_0020,6894,BEVERAGE ALCOHOL - BEER D96,PILSEN,CERVEZA PILSENER PAQ,1250,4986,4263.9985,2100.0,2,9664337,CERVEZA PILSEN LATA 6PACK 350 ML,158042.0,4700.0,38.0,1,2,0,0,100.0,OK
CR,SUPERMERCADOS,SAN JOSE,FAM_1_4_10004_0021,6987,BEVERAGES - CARBONATED-D95,EVERVESS,BEB SABOR REGUL PERS,1756,2175,628.28,600.0,3,9521273,REFRESC GAS EVERVESS SODA QUINA 600ML,60389.0,820.0,98.0,3,1,2,0,33.33333333333333,Alta dispersion: 3 precios distintos | 2/3 SKUs desalineados
CR,SUPERMERCADOS,SAN JOSE,FAM_1_4_10004_0022,6894,BEVERAGE ALCOHOL - BEER D96,IMPERIAL,CERVEZA LAGER UNIDAD,1025,3035,709.301,350.0,4,70384854,CERVEZA IMPERIAL ULTRA VIDRIO 350 ML,6534.0,820.0,9.0,3,2,2,0,50.0,Alta dispersion: 3 precios distintos | 2/4 SKUs desalineados
CR,SUPERMERCADOS,SAN JOSE,FAM_1_4_10004_0023,6894,BEVERAGE ALCOHOL - BEER D96,TECATE,CERVEZA LAGER PAQ,1000,6270,4739.22,3784.0,1,75380220,CERVEZA TECATE LIGHT 8X6 3784 ML,0,6080.0,,1,1,0,0,100.0,Familia con un solo articulo | Primario sin ventas registradas
CR,SUPERMERCADOS,SAN JOSE,FAM_1_4_10004_0024,6894,BEVERAGE ALCOHOL - BEER D96,NATURAL LIGHT,CERVEZA LAGER PAQ,1000,230608,2319.89,2130.0,1,75187771,CERVEZA NATURAL LIGHT 6 PACK 355ML,0,2900.0,,1,1,0,0,100.0,Familia con un solo articulo | Primario sin ventas registradas
